ALGO, NUM_RUNS, TOTAL_DIFFERENCE, SETUP, CALC, CONV 
COS, 100, 3, 2146, 901, 966 
SIN, 100, 4, 2146, 913, 966 
ATANH, 100, 42, 1438, 742, 948 
SQRT, 100, 329, 2152, 730, 972 
SINH, 100, 21, 1444, 854, 966 
COSH, 100, 695, 1444, 854, 966 
LOGN, 100, 48, 2569, 730, 954 
ATAN2, 100, 12, 3352, 883, 1007 
COS, 100, 298, 2146, 901, 966 
SIN, 100, 1, 2146, 913, 966 
ATANH, 100, 15, 1450, 742, 966 
SQRT, 100, 471, 2572, 730, 972 
SINH, 100, 4, 1456, 854, 983 
COSH, 100, 697, 1456, 854, 983 
LOGN, 100, 61, 3039, 730, 972 
ATAN2, 100, 3, 3352, 883, 1007 
COS, 100, 1, 2128, 901, 948 
SIN, 100, 2, 2128, 913, 948 
ATANH, 100, 17, 1439, 742, 948 
SQRT, 100, 590, 2728, 730, 972 
SINH, 100, 8, 1444, 854, 966 
COSH, 100, 8, 1444, 854, 966 
LOGN, 100, 63, 3142, 730, 972 
ATAN2, 100, 6, 3360, 883, 1007 
COS, 100, 304, 2146, 901, 966 
SIN, 100, 1, 2146, 913, 966 
ATANH, 100, 44, 1450, 742, 966 
SQRT, 100, 1379, 2384, 730, 972 
SINH, 100, 18, 1455, 854, 983 
COSH, 100, 14, 1455, 854, 983 
LOGN, 100, 234, 2787, 730, 972 
ATAN2, 100, 3, 3352, 883, 1008
